[StudentID,TotalNumberOfSemestersRegistered,Semester,NumCoursesTakenInTheSemester
, 1,14,1,9
, 1,14,2,8
, 1,14,3,8
, 1,14,4,1
, 1,14,5,8
, 1,14,6,7
, 1,14,7,1
, 1,14,8,8
, 1,14,9,6
, 1,14,10,1
, 1,14,11,4
, 1,14,12,3
, 1,14,13,1
, 1,14,14,1
, 2,10,1,10
, 2,10,2,9
, 2,10,3,1
, 2,10,4,9
, 2,10,5,8
, 2,10,6,8
, 2,10,7,9
, 2,10,8,7
, 2,10,9,3
, 2,10,10,2
, 3,11,1,11
, 3,11,2,11
, 3,11,3,10
, 3,11,4,9
, 3,11,5,9
, 3,11,6,10
, 3,11,7,7
, 3,11,8,8
, 3,11,9,1
, 3,11,10,2
, 3,11,11,2
, 4,17,1,11
, 4,17,2,8
, 4,17,3,9
, 4,17,4,8
, 4,17,5,1
, 4,17,6,9
, 4,17,7,1
, 4,17,8,8
, 4,17,9,8
, 4,17,10,1
, 4,17,11,7
, 4,17,12,8
, 4,17,13,1
, 4,17,14,1
, 4,17,15,10
, 4,17,16,1
, 4,17,17,7
, 5,8,1,10
, 5,8,2,9
, 5,8,3,9
, 5,8,4,8
, 5,8,5,1
, 5,8,6,8
, 5,8,7,8
, 5,8,8,8
, 6,10,1,11
, 6,10,2,11
, 6,10,3,10
, 6,10,4,9
, 6,10,5,1
, 6,10,6,9
, 6,10,7,8
, 6,10,8,10
, 6,10,9,7
, 6,10,10,2
, 7,14,1,9
, 7,14,2,9
, 7,14,3,1
, 7,14,4,8
, 7,14,5,11
, 7,14,6,8
, 7,14,7,8
, 7,14,8,1
, 7,14,9,1
, 7,14,10,6
, 7,14,11,6
, 7,14,12,1
, 7,14,13,7
, 7,14,14,3
, 8,12,1,8
, 8,12,2,9
, 8,12,3,1
, 8,12,4,1
, 8,12,5,8
, 8,12,6,8
, 8,12,7,9
, 8,12,8,8
, 8,12,9,1
, 8,12,10,8
, 8,12,11,3
, 8,12,12,1
, 9,13,1,11
, 9,13,2,8
, 9,13,3,8
, 9,13,4,9
, 9,13,5,1
, 9,13,6,8
, 9,13,7,1
, 9,13,8,7
, 9,13,9,8
, 9,13,10,2
, 9,13,11,7
, 9,13,12,3
, 9,13,13,1
, 10,11,1,11
, 10,11,2,9
, 10,11,3,8
, 10,11,4,9
, 10,11,5,1
, 10,11,6,1
, 10,11,7,9
, 10,11,8,8
, 10,11,9,1
, 10,11,10,1
, 10,11,11,6
, 11,12,1,9
, 11,12,2,9
, 11,12,3,9
, 11,12,4,8
, 11,12,5,1
, 11,12,6,8
, 11,12,7,8
, 11,12,8,2
, 11,12,9,2
, 11,12,10,6
, 11,12,11,5
, 11,12,12,1
, 12,10,1,11
, 12,10,2,9
, 12,10,3,1
, 12,10,4,10
, 12,10,5,8
, 12,10,6,9
, 12,10,7,8
, 12,10,8,7
, 12,10,9,3
, 12,10,10,1
, 13,10,1,10
, 13,10,2,10
, 13,10,3,9
, 13,10,4,8
, 13,10,5,8
, 13,10,6,9
, 13,10,7,1
, 13,10,8,9
, 13,10,9,5
, 13,10,10,1
, 14,12,1,10
, 14,12,2,9
, 14,12,3,1
, 14,12,4,9
, 14,12,5,9
, 14,12,6,2
, 14,12,7,8
, 14,12,8,7
, 14,12,9,1
, 14,12,10,9
, 14,12,11,2
, 14,12,12,6
, 15,11,1,9
, 15,11,2,10
, 15,11,3,1
, 15,11,4,9
, 15,11,5,9
, 15,11,6,9
, 15,11,7,9
, 15,11,8,1
, 15,11,9,6
, 15,11,10,4
, 15,11,11,1
, 16,11,1,9
, 16,11,2,10
, 16,11,3,9
, 16,11,4,9
, 16,11,5,1
, 16,11,6,9
, 16,11,7,10
, 16,11,8,1
, 16,11,9,2
, 16,11,10,6
, 16,11,11,2
, 17,10,1,12
, 17,10,2,12
, 17,10,3,9
, 17,10,4,8
, 17,10,5,2
, 17,10,6,8
, 17,10,7,9
, 17,10,8,8
, 17,10,9,1
, 17,10,10,2
, 18,5,1,8
, 18,5,2,9
, 18,5,3,6
, 18,5,4,7
, 18,5,5,6
, 19,12,1,12
, 19,12,2,11
, 19,12,3,1
, 19,12,4,8
, 19,12,5,9
, 19,12,6,1
, 19,12,7,6
, 19,12,8,1
, 19,12,9,8
, 19,12,10,8
, 19,12,11,4
, 19,12,12,3
, 20,10,1,11
, 20,10,2,9
, 20,10,3,2
, 20,10,4,11
, 20,10,5,11
, 20,10,6,10
, 20,10,7,8
, 20,10,8,9
, 20,10,9,5
, 20,10,10,1
, 21,11,1,10
, 21,11,2,10
, 21,11,3,9
, 21,11,4,9
, 21,11,5,9
, 21,11,6,9
, 21,11,7,7
, 21,11,8,4
, 21,11,9,3
, 21,11,10,1
, 21,11,11,1
, 22,14,1,11
, 22,14,2,11
, 22,14,3,1
, 22,14,4,8
, 22,14,5,1
, 22,14,6,10
, 22,14,7,8
, 22,14,8,8
, 22,14,9,7
, 22,14,10,1
, 22,14,11,6
, 22,14,12,5
, 22,14,13,2
, 22,14,14,6
, 23,16,1,11
, 23,16,2,9
, 23,16,3,1
, 23,16,4,9
, 23,16,5,8
, 23,16,6,8
, 23,16,7,2
, 23,16,8,8
, 23,16,9,8
, 23,16,10,1
, 23,16,11,1
, 23,16,12,7
, 23,16,13,5
, 23,16,14,2
, 23,16,15,1
, 23,16,16,1
, 24,14,1,9
, 24,14,2,8
, 24,14,3,11
, 24,14,4,11
, 24,14,5,1
, 24,14,6,1
, 24,14,7,10
, 24,14,8,10
, 24,14,9,10
, 24,14,10,8
, 24,14,11,5
, 24,14,12,1
, 24,14,13,3
, 24,14,14,2
, 25,10,1,11
, 25,10,2,11
, 25,10,3,10
, 25,10,4,9
, 25,10,5,9
, 25,10,6,9
, 25,10,7,7
, 25,10,8,8
, 25,10,9,1
, 25,10,10,3
, 26,11,1,9
, 26,11,2,10
, 26,11,3,1
, 26,11,4,9
, 26,11,5,9
, 26,11,6,9
, 26,11,7,1
, 26,11,8,1
, 26,11,9,8
, 26,11,10,7
, 26,11,11,3
, 27,12,1,9
, 27,12,2,9
, 27,12,3,9
, 27,12,4,9
, 27,12,5,2
, 27,12,6,8
, 27,12,7,6
, 27,12,8,8
, 27,12,9,1
, 27,12,10,7
, 27,12,11,1
, 27,12,12,1
, 28,11,1,12
, 28,11,2,12
, 28,11,3,1
, 28,11,4,10
, 28,11,5,7
, 28,11,6,8
, 28,11,7,7
, 28,11,8,6
, 28,11,9,6
, 28,11,10,2
, 28,11,11,1
, 29,12,1,9
, 29,12,2,10
, 29,12,3,9
, 29,12,4,12
, 29,12,5,1
, 29,12,6,9
, 29,12,7,8
, 29,12,8,1
, 29,12,9,6
, 29,12,10,6
, 29,12,11,3
, 29,12,12,2
, 30,10,1,10
, 30,10,2,8
, 30,10,3,9
, 30,10,4,9
, 30,10,5,9
, 30,10,6,8
, 30,10,7,1
, 30,10,8,6
, 30,10,9,6
, 30,10,10,1
, 31,9,1,9
, 31,9,2,10
, 31,9,3,10
, 31,9,4,8
, 31,9,5,1
, 31,9,6,8
, 31,9,7,8
, 31,9,8,6
, 31,9,9,6
, 32,13,1,9
, 32,13,2,8
, 32,13,3,1
, 32,13,4,8
, 32,13,5,8
, 32,13,6,2
, 32,13,7,2
, 32,13,8,8
, 32,13,9,8
, 32,13,10,6
, 32,13,11,4
, 32,13,12,3
, 32,13,13,1
, 33,11,1,11
, 33,11,2,10
, 33,11,3,10
, 33,11,4,11
, 33,11,5,10
, 33,11,6,9
, 33,11,7,7
, 33,11,8,6
, 33,11,9,7
, 33,11,10,2
, 33,11,11,1
, 34,18,1,11
, 34,18,2,9
, 34,18,3,1
, 34,18,4,9
, 34,18,5,8
, 34,18,6,1
, 34,18,7,7
, 34,18,8,8
, 34,18,9,2
, 34,18,10,1
, 34,18,11,8
, 34,18,12,1
, 34,18,13,6
, 34,18,14,5
, 34,18,15,1
, 34,18,16,1
, 34,18,17,1
, 34,18,18,1
, 35,13,1,11
, 35,13,2,11
, 35,13,3,9
, 35,13,4,11
, 35,13,5,9
, 35,13,6,1
, 35,13,7,2
, 35,13,8,9
, 35,13,9,9
, 35,13,10,7
, 35,13,11,7
, 35,13,12,2
, 35,13,13,1
, 36,10,1,10
, 36,10,2,8
, 36,10,3,9
, 36,10,4,8
, 36,10,5,8
, 36,10,6,8
, 36,10,7,1
, 36,10,8,8
, 36,10,9,3
, 36,10,10,3
, 37,11,1,10
, 37,11,2,9
, 37,11,3,9
, 37,11,4,10
, 37,11,5,1
, 37,11,6,9
, 37,11,7,8
, 37,11,8,4
, 37,11,9,1
, 37,11,10,3
, 37,11,11,1
, 38,11,1,10
, 38,11,2,8
, 38,11,3,2
, 38,11,4,8
, 38,11,5,8
, 38,11,6,8
, 38,11,7,1
, 38,11,8,8
, 38,11,9,6
, 38,11,10,1
, 38,11,11,1
, 39,12,1,10
, 39,12,2,11
, 39,12,3,1
, 39,12,4,9
, 39,12,5,9
, 39,12,6,7
, 39,12,7,8
, 39,12,8,7
, 39,12,9,8
, 39,12,10,1
, 39,12,11,8
, 39,12,12,1
, 40,15,1,9
, 40,15,2,10
, 40,15,3,9
, 40,15,4,1
, 40,15,5,1
, 40,15,6,12
, 40,15,7,9
, 40,15,8,1
, 40,15,9,1
, 40,15,10,9
, 40,15,11,10
, 40,15,12,2
, 40,15,13,7
, 40,15,14,1
, 40,15,15,1
, 41,13,1,9
, 41,13,2,9
, 41,13,3,9
, 41,13,4,1
, 41,13,5,8
, 41,13,6,9
, 41,13,7,1
, 41,13,8,8
, 41,13,9,5
, 41,13,10,1
, 41,13,11,3
, 41,13,12,1
, 41,13,13,1
, 42,10,1,9
, 42,10,2,10
, 42,10,3,9
, 42,10,4,8
, 42,10,5,2
, 42,10,6,9
, 42,10,7,9
, 42,10,8,1
, 42,10,9,8
, 42,10,10,8
, 43,12,1,10
, 43,12,2,11
, 43,12,3,8
, 43,12,4,10
, 43,12,5,9
, 43,12,6,9
, 43,12,7,1
, 43,12,8,8
, 43,12,9,10
, 43,12,10,3
, 43,12,11,1
, 43,12,12,1
, 44,16,1,12
, 44,16,2,10
, 44,16,3,1
, 44,16,4,9
, 44,16,5,6
, 44,16,6,2
, 44,16,7,9
, 44,16,8,8
, 44,16,9,1
, 44,16,10,2
, 44,16,11,8
, 44,16,12,6
, 44,16,13,1
, 44,16,14,1
, 44,16,15,8
, 44,16,16,6
, 45,11,1,9
, 45,11,2,9
, 45,11,3,10
, 45,11,4,9
, 45,11,5,1
, 45,11,6,9
, 45,11,7,8
, 45,11,8,1
, 45,11,9,1
, 45,11,10,6
, 45,11,11,4
, 46,11,1,9
, 46,11,2,9
, 46,11,3,8
, 46,11,4,8
, 46,11,5,1
, 46,11,6,1
, 46,11,7,8
, 46,11,8,1
, 46,11,9,7
, 46,11,10,7
, 46,11,11,4
, 47,8,1,10
, 47,8,2,11
, 47,8,3,11
, 47,8,4,11
, 47,8,5,10
, 47,8,6,10
, 47,8,7,9
, 47,8,8,7
, 48,9,1,11
, 48,9,2,11
, 48,9,3,9
, 48,9,4,11
, 48,9,5,11
, 48,9,6,9
, 48,9,7,6
, 48,9,8,7
, 48,9,9,5
, 49,13,1,9
, 49,13,2,10
, 49,13,3,2
, 49,13,4,8
, 49,13,5,9
, 49,13,6,9
, 49,13,7,8
, 49,13,8,1
, 49,13,9,7
, 49,13,10,1
, 49,13,11,8
, 49,13,12,1
, 49,13,13,1
, 50,9,1,9
, 50,9,2,10
, 50,9,3,8
, 50,9,4,8
, 50,9,5,9
, 50,9,6,9
, 50,9,7,7
, 50,9,8,1
, 50,9,9,3
, 51,12,1,11
, 51,12,2,9
, 51,12,3,9
, 51,12,4,8
, 51,12,5,9
, 51,12,6,2
, 51,12,7,7
, 51,12,8,7
, 51,12,9,1
, 51,12,10,7
, 51,12,11,2
, 51,12,12,1
, 52,9,1,9
, 52,9,2,10
, 52,9,3,1
, 52,9,4,10
, 52,9,5,9
, 52,9,6,8
, 52,9,7,9
, 52,9,8,6
, 52,9,9,3
, 53,15,1,12
, 53,15,2,10
, 53,15,3,9
, 53,15,4,8
, 53,15,5,8
, 53,15,6,8
, 53,15,7,2
, 53,15,8,2
, 53,15,9,10
, 53,15,10,9
, 53,15,11,2
, 53,15,12,2
, 53,15,13,9
, 53,15,14,3
, 53,15,15,1
, 54,13,1,9
, 54,13,2,10
, 54,13,3,1
, 54,13,4,8
, 54,13,5,8
, 54,13,6,8
, 54,13,7,8
, 54,13,8,1
, 54,13,9,1
, 54,13,10,7
, 54,13,11,6
, 54,13,12,1
, 54,13,13,1
, 55,12,1,9
, 55,12,2,9
, 55,12,3,9
, 55,12,4,3
, 55,12,5,1
, 55,12,6,8
, 55,12,7,8
, 55,12,8,9
, 55,12,9,7
, 55,12,10,1
, 55,12,11,4
, 55,12,12,1
, 56,13,1,9
, 56,13,2,9
, 56,13,3,8
, 56,13,4,9
, 56,13,5,2
, 56,13,6,7
, 56,13,7,9
, 56,13,8,1
, 56,13,9,6
, 56,13,10,6
, 56,13,11,1
, 56,13,12,1
, 56,13,13,2
, 57,12,1,10
, 57,12,2,8
, 57,12,3,1
, 57,12,4,8
, 57,12,5,8
, 57,12,6,1
, 57,12,7,9
, 57,12,8,8
, 57,12,9,8
, 57,12,10,6
, 57,12,11,6
, 57,12,12,6
, 58,11,1,10
, 58,11,2,9
, 58,11,3,8
, 58,11,4,8
, 58,11,5,1
, 58,11,6,1
, 58,11,7,9
, 58,11,8,10
, 58,11,9,6
, 58,11,10,4
, 58,11,11,1
, 59,10,1,10
, 59,10,2,9
, 59,10,3,2
, 59,10,4,9
, 59,10,5,8
, 59,10,6,1
, 59,10,7,8
, 59,10,8,8
, 59,10,9,6
, 59,10,10,1
, 60,13,1,10
, 60,13,2,10
, 60,13,3,1
, 60,13,4,8
, 60,13,5,8
, 60,13,6,2
, 60,13,7,8
, 60,13,8,9
, 60,13,9,1
, 60,13,10,4
, 60,13,11,3
, 60,13,12,1
, 60,13,13,1
, 61,8,1,9
, 61,8,2,10
, 61,8,3,9
, 61,8,4,8
, 61,8,5,9
, 61,8,6,8
, 61,8,7,7
, 61,8,8,4
, 62,12,1,9
, 62,12,2,9
, 62,12,3,1
, 62,12,4,8
, 62,12,5,9
, 62,12,6,1
, 62,12,7,8
, 62,12,8,9
, 62,12,9,1
, 62,12,10,6
, 62,12,11,8
, 62,12,12,1
, 63,9,1,11
, 63,9,2,12
, 63,9,3,9
, 63,9,4,9
, 63,9,5,8
, 63,9,6,9
, 63,9,7,1
, 63,9,8,7
, 63,9,9,6
, 64,9,1,12
, 64,9,2,11
, 64,9,3,10
, 64,9,4,8
, 64,9,5,9
, 64,9,6,10
, 64,9,7,8
, 64,9,8,5
, 64,9,9,1
, 65,12,1,9
, 65,12,2,9
, 65,12,3,1
, 65,12,4,9
, 65,12,5,8
, 65,12,6,1
, 65,12,7,8
, 65,12,8,8
, 65,12,9,7
, 65,12,10,6
, 65,12,11,2
, 65,12,12,1
, 66,10,1,8
, 66,10,2,9
, 66,10,3,8
, 66,10,4,8
, 66,10,5,2
, 66,10,6,8
, 66,10,7,8
, 66,10,8,6
, 66,10,9,7
, 66,10,10,1
, 67,10,1,9
, 67,10,2,9
, 67,10,3,8
, 67,10,4,9
, 67,10,5,8
, 67,10,6,8
, 67,10,7,1
, 67,10,8,7
, 67,10,9,4
, 67,10,10,1
, 68,9,1,11
, 68,9,2,11
, 68,9,3,10
, 68,9,4,10
, 68,9,5,8
, 68,9,6,10
, 68,9,7,10
, 68,9,8,6
, 68,9,9,1
, 69,12,1,9
, 69,12,2,10
, 69,12,3,8
, 69,12,4,10
, 69,12,5,7
, 69,12,6,7
, 69,12,7,1
, 69,12,8,6
, 69,12,9,5
, 69,12,10,1
, 69,12,11,2
, 69,12,12,1
, 70,9,1,10
, 70,9,2,9
, 70,9,3,9
, 70,9,4,9
, 70,9,5,1
, 70,9,6,9
, 70,9,7,8
, 70,9,8,6
, 70,9,9,3
, 71,11,1,10
, 71,11,2,10
, 71,11,3,10
, 71,11,4,10
, 71,11,5,8
, 71,11,6,8
, 71,11,7,1
, 71,11,8,6
, 71,11,9,6
, 71,11,10,2
, 71,11,11,1
, 72,10,1,9
, 72,10,2,10
, 72,10,3,9
, 72,10,4,8
, 72,10,5,1
, 72,10,6,1
, 72,10,7,8
, 72,10,8,8
, 72,10,9,6
, 72,10,10,4
, 73,9,1,10
, 73,9,2,11
, 73,9,3,10
, 73,9,4,8
, 73,9,5,9
, 73,9,6,11
, 73,9,7,6
, 73,9,8,2
, 73,9,9,10
, 74,13,1,10
, 74,13,2,9
, 74,13,3,8
, 74,13,4,8
, 74,13,5,2
, 74,13,6,8
, 74,13,7,8
, 74,13,8,1
, 74,13,9,7
, 74,13,10,1
, 74,13,11,5
, 74,13,12,1
, 74,13,13,1
, 75,12,1,12
, 75,12,2,10
, 75,12,3,1
, 75,12,4,9
, 75,12,5,1
, 75,12,6,9
, 75,12,7,9
, 75,12,8,11
, 75,12,9,6
, 75,12,10,9
, 75,12,11,2
, 75,12,12,7
, 76,12,1,10
, 76,12,2,8
, 76,12,3,9
, 76,12,4,9
, 76,12,5,7
, 76,12,6,8
, 76,12,7,6
, 76,12,8,1
, 76,12,9,2
, 76,12,10,7
, 76,12,11,1
, 76,12,12,3
, 77,13,1,11
, 77,13,2,11
, 77,13,3,9
, 77,13,4,8
, 77,13,5,9
, 77,13,6,6
, 77,13,7,1
, 77,13,8,8
, 77,13,9,6
, 77,13,10,2
, 77,13,11,4
, 77,13,12,2
, 77,13,13,3
, 78,12,1,9
, 78,12,2,9
, 78,12,3,9
, 78,12,4,9
, 78,12,5,1
, 78,12,6,2
, 78,12,7,9
, 78,12,8,9
, 78,12,9,7
, 78,12,10,8
, 78,12,11,2
, 78,12,12,2
, 79,11,1,10
, 79,11,2,8
, 79,11,3,10
, 79,11,4,10
, 79,11,5,9
, 79,11,6,9
, 79,11,7,6
, 79,11,8,1
, 79,11,9,7
, 79,11,10,3
, 79,11,11,1
, 80,10,1,10
, 80,10,2,8
, 80,10,3,8
, 80,10,4,10
, 80,10,5,8
, 80,10,6,9
, 80,10,7,5
, 80,10,8,6
, 80,10,9,3
, 80,10,10,3
, 81,14,1,11
, 81,14,2,12
, 81,14,3,8
, 81,14,4,1
, 81,14,5,8
, 81,14,6,6
, 81,14,7,1
, 81,14,8,8
, 81,14,9,9
, 81,14,10,1
, 81,14,11,2
, 81,14,12,6
, 81,14,13,1
, 81,14,14,4
, 82,11,1,10
, 82,11,2,9
, 82,11,3,1
, 82,11,4,8
, 82,11,5,8
, 82,11,6,2
, 82,11,7,9
, 82,11,8,8
, 82,11,9,1
, 82,11,10,5
, 82,11,11,3
, 83,8,1,10
, 83,8,2,8
, 83,8,3,8
, 83,8,4,9
, 83,8,5,8
, 83,8,6,9
, 83,8,7,7
, 83,8,8,7
, 84,13,1,10
, 84,13,2,9
, 84,13,3,9
, 84,13,4,9
, 84,13,5,8
, 84,13,6,1
